City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3268,Camacha,PT,64.4,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
3269,Ojinaga,MX,78.8,clear sky,29.5667,-104.4167,Suites Las Palmas
3273,Catalina,US,82.0,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
3274,Vila,PT,66.0,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
3277,Coria,ES,63.84,overcast clouds,39.9879,-6.5377,Hotel San Cristóbal
3278,Rovinj,HR,60.8,clear sky,45.08,13.64,Hotel Monte Mulini
3279,Port Blair,IN,81.93,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
3280,Lucea,JM,84.2,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
3281,Arona,ES,77.0,few clouds,28.0996,-16.681,Paradise Court
3282,Champasak,LA,75.9,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
3283,Salem,IN,79.34,overcast clouds,11.65,78.1667,YMCA PROGRAM CENTRE
3285,Utete,TZ,74.03,light rain,-7.986,38.758,River View Lodge
3287,Siyabuswa,ZA,66.88,scattered clouds,-25.1132,29.0445,Uluju properties
3288,Amarpur,IN,84.63,broken clouds,25.0333,86.9,Amit kirana store
3290,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
3291,Noumea,NC,78.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
3292,Ajuchitlan,MX,78.8,broken clouds,20.7167,-100.0167,Cuartos En Renta
3293,Maningrida,AU,68.79,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
3296,Santander,ES,64.4,clear sky,43.4647,-3.8044,Abba Santander Hotel
3300,Qalyub,EG,77.0,clear sky,30.1792,31.2056,كمال فهمى محمد فهمى
3301,Fort Portal,UG,60.39,light rain,0.6617,30.2748,Elegance hotel
3303,Mmathubudukwane,BW,66.2,clear sky,-24.6,26.4333,Gill Sleepover Guesthouse
3307,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
3308,Sharjah,AE,86.0,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
3310,Vicuna,CL,73.0,clear sky,-30.0319,-70.7081,Los Mosaicos
3312,Lodja,CD,70.57,broken clouds,-3.4833,23.4333,Quinta Samay
3314,Rio Branco,BR,87.8,scattered clouds,-9.9747,-67.81,João Paulo Hotel
3316,San Cristobal,VE,89.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
3317,Biograd Na Moru,HR,61.0,clear sky,43.9433,15.4519,Hotel Palma
3319,Namibe,AO,79.57,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
3320,Ende,ID,75.96,clear sky,-8.8432,121.6623,Dwi Putra Hotel - Ende
3321,Dalbandin,PK,81.86,clear sky,28.8947,64.4101,Sanjrani House
3322,Nizwa,OM,87.12,broken clouds,22.9333,57.5333,Orient Apartments
3323,Maceio,BR,86.0,few clouds,-9.6658,-35.7353,Poutur Pousada
3325,Mount Isa,AU,69.8,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
3326,Simoes,BR,87.89,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
3327,Pundaguitan,PH,83.17,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
3328,Chicama,PE,66.2,fog,-7.8447,-79.1469,Balihai Bungalows
3329,Sakakah,SA,86.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
3330,Saint-Georges,GD,86.0,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
3331,Bubaque,GW,78.35,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
3334,Taranagar,IN,80.71,clear sky,28.6709,75.0351,Jyani Plaza
3338,Tsiroanomandidy,MG,69.39,scattered clouds,-18.7667,46.0333,Quinta Samay
3339,Bontang,ID,77.09,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
3340,Karratha,AU,79.38,clear sky,-20.7377,116.8463,ibis Styles Karratha
3342,Kulhudhuffushi,MV,83.75,broken clouds,6.6221,73.07,Haajy Guest House 1
3344,Amnat Charoen,TH,87.01,scattered clouds,15.9167,104.75,หอพักนักศึกษา
3346,Aden,YE,82.69,clear sky,12.7794,45.0367,Sama Emirate Hotel
3348,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
3350,Sungaipenuh,ID,63.95,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
3351,Kauswagan,PH,77.0,broken clouds,8.1917,124.0847,lola patring
3353,Malya,TZ,68.23,scattered clouds,-2.9833,33.5167,Quinta Samay
3355,Wanning,CN,78.53,scattered clouds,18.8003,110.3967,Paradise Hotel
3356,Marataizes,BR,77.04,clear sky,-21.0433,-40.8244,Ed. Barra Shopping
3357,Tabou,CI,83.14,overcast clouds,4.423,-7.3528,hotêl doufoulougou
3358,Kawalu,ID,70.74,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
3359,Vallenar,CL,76.08,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
3361,Cowansville,CA,64.4,broken clouds,45.2001,-72.7491,L'Auberge des Carrefours
3362,Gushikawa,JP,66.2,moderate rain,26.3544,127.8686,Kirari Guest House
3363,Kieta,PG,78.87,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
3364,Muisne,EC,86.0,few clouds,0.6,-80.0333,Quinta Samay
