City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,Nikolskoye,59.7035,30.7861,46.4,57,0,11.18,RU,2021-04-18 22:36:33
149,Hermanus,-34.4187,19.2345,63.0,87,83,5.17,ZA,2021-04-18 22:35:54
150,Kulu,39.0951,33.0799,54.66,74,96,3.02,TR,2021-04-18 22:36:34
151,Zhigansk,66.7697,123.3711,8.67,93,98,4.59,RU,2021-04-18 22:36:34
152,Richards Bay,-28.783,32.0377,66.0,70,0,12.8,ZA,2021-04-18 22:36:34
153,Narsaq,60.9167,-46.05,30.2,29,75,4.79,GL,2021-04-18 22:36:35
154,Saint George,37.1041,-113.5841,75.99,9,1,4.61,US,2021-04-18 22:35:52
155,Atar,20.5169,-13.0499,81.68,13,70,6.62,MR,2021-04-18 22:36:35
156,Yumen,40.2833,97.2,49.41,35,100,6.76,CN,2021-04-18 22:36:35
157,Pemangkat,1.1667,108.9667,76.53,88,73,6.33,ID,2021-04-18 22:36:36
158,Kayes,14.0,-11.0,96.22,19,79,5.73,ML,2021-04-18 22:36:36
159,Missoula,47.0166,-113.8009,69.8,19,75,9.22,US,2021-04-18 22:35:03
160,Yamachiche,46.2668,-72.8324,53.6,50,75,3.44,CA,2021-04-18 22:36:36
161,Ibipeba,-11.6408,-42.0111,72.18,76,100,2.17,BR,2021-04-18 22:36:37
162,Shelburne,44.0787,-80.2041,53.01,57,20,10.36,CA,2021-04-18 22:36:37
163,Provideniya,64.3833,-173.3,30.2,69,0,4.47,RU,2021-04-18 22:36:37
164,Raudeberg,61.9875,5.1352,48.99,48,8,10.56,NO,2021-04-18 22:36:38
165,Carnarvon,-24.8667,113.6333,75.36,71,0,17.87,AU,2021-04-18 22:36:38
166,Oriximina,-1.7656,-55.8661,73.45,95,100,5.79,BR,2021-04-18 22:36:38
167,Tabora,-5.0167,32.8,66.2,88,0,4.05,TZ,2021-04-18 22:36:39
168,Yellowknife,62.456,-114.3525,39.2,56,20,12.66,CA,2021-04-18 22:35:50
169,Harper,4.375,-7.7169,80.85,79,99,7.45,LR,2021-04-18 22:36:40
170,Catuday,16.2923,119.8062,79.43,75,92,7.81,PH,2021-04-18 22:36:40
171,Bac Lieu,9.285,105.7244,79.66,81,91,3.27,VN,2021-04-18 22:36:41
172,Katsuura,35.1333,140.3,60.01,35,0,13.24,JP,2021-04-18 22:36:41
173,Kaitangata,-46.2817,169.8464,64.0,48,84,5.99,NZ,2021-04-18 22:36:41
